reason_for_credit_entry,sub_order_no,order_date,customer_state,product_name,sku,size,quantity,supplier_listed_price_(incl._gst_+_commission),supplier_discounted_price_(incl_gst_and_commision),order_status,pin,delivery_state,gst_amount,meesho_price,shipping_charges_total,final_price,forward_order_date,is_rto,day_of_week,day_of_month,month,is_weekend,is_month_start,is_month_end,pin_prefix,is_metro,state_clean,pin_rto_rate,pin_order_count,state_rto_rate,state_order_count,price_per_unit,discount_amount,discount_pct,shipping_to_price_ratio,price_category,has_valid_pincode,has_state,address_quality_score,product_rto_rate,product_order_count,product_length,pincode,dtdc_total_shipments,dtdc_failed_shipments,dtdc_failure_rate,dtdc_avg_delivery_days,dtdc_delivery_success_rate,dtdc_avg_address_quality,dtdc_avg_has_building,dtdc_avg_has_pincode,dtdc_avg_has_landmark,dtdc_avg_address_length,state,dtdc_state_shipments,dtdc_state_rto_rate,dtdc_state_avg_days,combined_pin_rto_rate,address_quality_delta,delivery_difficulty_score
DELIVERED,756746970573_1,2022-08-15,Tamil Nadu, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Return,600117,Tamil Nadu,64.3,1350,114,1448,2022-08-15,1.0,0,15,8,0,0,0,600,1,Tamil Nadu,1.0,1,0.5,10,1448.0,-98,0.0,0.0787292817679558,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Tamil Nadu,2635.0,0.6227703984819735,3.031499051233397,0.5,1.0,1.0
DELIVERED,263636176870_1,2022-08-25,Rajasthan,top & bottom set,akshar 1090,M,1,1400.0,1400.0,Return,332001,Rajasthan,66.68,1400,81,1465,2022-08-25,1.0,3,25,8,0,0,1,332,0,Rajasthan,1.0,1,0.4,5,1465.0,-65,0.0,0.0552901023890785,premium,1,1,1.0,0.5,12,16,,,,,,,,,,,,Rajasthan,1358.0,0.617820324005891,2.905743740795287,0.5,1.0,1.0
RTO_COMPLETE,668655545003_1,2022-08-18,Andhra Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,rto,533103,Andhra Pradesh,64.3,1350,114,1464,2022-08-18,1.0,3,18,8,0,0,0,533,0,Andhra Pradesh,1.0,1,0.7142857142857143,7,1464.0,-114,0.0,0.0778688524590164,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Andhra Pradesh,2752.0,0.5933866279069767,3.004360465116279,0.5,1.0,1.0
DELIVERED,675841565482_1,2022-08-10,Odisha,top & bottom set,akshar 1090,M,1,1368.0,1368.0,Delivered,765015,Odisha,65.14,1368,81,1449,2022-08-10,0.0,2,10,8,0,0,0,765,0,Odisha,0.0,1,0.5,8,1449.0,-81,0.0,0.055900621118012424,premium,1,1,1.0,0.5,12,16,,,,,,,,,,,,Odisha,1345.0,0.5836431226765799,2.992565055762082,0.0,1.0,1.0
DELIVERED,715638312753_1,2022-08-25,Jammu & Kashmir,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Delivered,181224,Jammu & Kashmir,24.72,519,0,519,2022-08-25,0.0,3,25,8,0,0,1,181,0,Jammu & Kashmir,0.0,1,0.4,5,519.0,0,0.0,0.0,high,1,1,1.0,0.10526315789473684,19,168,,,,,,,,,,,,Jammu & Kashmir,1437.0,0.6123869171885873,2.965901183020181,0.0,1.0,1.0
DELIVERED,643537959075_1,2022-08-21,Punjab, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk avdh,Free Size,1,1350.0,1350.0,Delivered,141007,Punjab,64.3,1350,114,1464,2022-08-21,0.0,6,21,8,1,0,0,141,0,Punjab,0.0,1,0.3333333333333333,6,1464.0,-114,0.0,0.0778688524590164,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Punjab,2824.0,0.6136685552407932,3.0155807365439093,0.0,1.0,1.0
DELIVERED,796423327995_1,2022-08-30,Chhattisgarh,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1368.0,1368.0,Shipped,495671,Chhattisgarh,65.14,1368,110,1478,2022-08-30,0.0,1,30,8,0,0,1,495,0,Chhattisgarh,0.0,1,0.0,3,1478.0,-110,0.0,0.07442489851150202,premium,1,1,1.0,0.36363636363636365,11,62,,,,,,,,,,,,Chhattisgarh,1387.0,0.6135544340302812,2.9279019466474403,0.0,1.0,1.0
DELIVERED,520950302337_1,2022-08-06,Telangana, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,Return,505490,Telangana,64.3,1350,114,1464,2022-08-06,1.0,5,6,8,1,0,0,505,0,Telangana,1.0,1,0.5714285714285714,7,1464.0,-114,0.0,0.0778688524590164,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Telangana,1394.0,0.5903873744619799,2.988522238163558,0.5,1.0,1.0
RTO_COMPLETE,781373357372_1,2022-08-29,Bihar,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XL,1,1261.0,1261.0,Shipped,848504,Bihar,60.06,1261,114,1375,2022-08-29,0.0,0,29,8,0,0,1,848,0,Bihar,0.0,1,0.3333333333333333,3,1375.0,-114,0.0,0.0829090909090909,premium,1,1,1.0,0.2,5,111,,,,,,,,,,,,Bihar,1447.0,0.6005528680027643,3.1002073255010365,0.0,1.0,1.0
RTO_COMPLETE,395369627755_1,2022-08-14,Andhra Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,rto,524003,Andhra Pradesh,64.3,1350,114,1464,2022-08-14,1.0,6,14,8,1,0,0,524,0,Andhra Pradesh,1.0,1,0.7142857142857143,7,1464.0,-114,0.0,0.0778688524590164,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Andhra Pradesh,2752.0,0.5933866279069767,3.004360465116279,0.5,1.0,1.0
