reason_for_credit_entry,sub_order_no,order_date,customer_state,product_name,sku,size,quantity,supplier_listed_price_(incl._gst_+_commission),supplier_discounted_price_(incl_gst_and_commision),order_status,pin,delivery_state,gst_amount,meesho_price,shipping_charges_total,final_price,forward_order_date,is_rto,day_of_week,day_of_month,month,is_weekend,is_month_start,is_month_end,pin_prefix,is_metro,state_clean,pin_rto_rate,pin_order_count,state_rto_rate,state_order_count,price_per_unit,discount_amount,discount_pct,shipping_to_price_ratio,price_category,has_valid_pincode,has_state,address_quality_score,product_rto_rate,product_order_count,product_length,pincode,dtdc_total_shipments,dtdc_failed_shipments,dtdc_failure_rate,dtdc_avg_delivery_days,dtdc_delivery_success_rate,dtdc_avg_address_quality,dtdc_avg_has_building,dtdc_avg_has_pincode,dtdc_avg_has_landmark,dtdc_avg_address_length,state,dtdc_state_shipments,dtdc_state_rto_rate,dtdc_state_avg_days,combined_pin_rto_rate,address_quality_delta,delivery_difficulty_score
DELIVERED,354258590368_1,2022-08-15,Assam, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Delivered,782447,Assam,64.3,1350,125,1475,2022-08-15,0.0,0,15,8,0,0,0,782,0,Assam,0.0,1,0.5,4,1475.0,-125,0.0,0.0847457627118644,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Assam,1382.0,0.6078147612156295,3.020260492040521,0.0,1.0,1.0
RTO_COMPLETE,261363877240_1,2022-08-02,Uttar Pradesh,Heavy faux georgette with embroidery work with moti latkan border with sleev  Dupatta Sets ,Ad 009 a,XXL,1,1500.0,1500.0,rto,247001,Uttar Pradesh,71.44,1500,110,1610,2022-08-02,1.0,1,2,8,0,1,0,247,0,Uttar Pradesh,1.0,1,0.4,10,1610.0,-110,0.0,0.06832298136645963,premium,1,1,1.0,0.3333333333333333,3,91,,,,,,,,,,,,Uttar Pradesh,5514.0,0.6006528835690969,3.025208560029017,0.5,1.0,1.0
DELIVERED,236795271202_1,2022-08-21,Others, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Return,600120,Others,64.3,1350,114,1464,2022-08-21,1.0,6,21,8,1,0,0,600,1,Others,1.0,1,0.5,2,1464.0,-114,0.0,0.0778688524590164,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,,,0.5998520710059172,2.992565055762082,0.5,1.0,1.0
DELIVERED,755828660648_1,2022-08-29,Kerala,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Shipped,671121,Kerala,24.72,519,0,519,2022-08-29,0.0,0,29,8,0,0,1,671,0,Kerala,0.0,1,0.5,8,519.0,0,0.0,0.0,high,1,1,1.0,0.10526315789473684,19,168,,,,,,,,,,,,Kerala,2810.0,0.6071174377224199,3.0188612099644128,0.0,1.0,1.0
DELIVERED,507304078237_1,2022-08-07,Madhya Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1311.0,1311.0,Return,472118,Madhya Pradesh,62.44,1311,114,1409,2022-08-07,1.0,6,7,8,1,0,0,472,0,Madhya Pradesh,1.0,1,0.5,6,1409.0,-98,0.0,0.08090844570617459,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Madhya Pradesh,2743.0,0.5956981407218374,2.989427633977397,0.5,1.0,1.0
DELIVERED,963799194113_1,2022-08-25,Uttar Pradesh,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Shipped,285123,Uttar Pradesh,24.2,508,0,502,2022-08-25,0.0,3,25,8,0,0,1,285,0,Uttar Pradesh,0.0,1,0.4,10,502.0,6,1.1811023622047243,0.0,high,1,1,1.0,0.10526315789473684,19,168,,,,,,,,,,,,Uttar Pradesh,5514.0,0.6006528835690969,3.025208560029017,0.0,1.0,1.0
DELIVERED,248244279818_1,2022-08-13,Gujarat,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400.0,1400.0,Return,395003,Gujarat,66.68,1400,101,1501,2022-08-13,1.0,5,13,8,1,0,0,395,0,Gujarat,1.0,1,0.125,8,1501.0,-101,0.0,0.06728847435043304,premium,1,1,1.0,0.36363636363636365,11,62,,,,,,,,,,,,Gujarat,2737.0,0.59846547314578,2.989404457435148,0.5,1.0,1.0
DELIVERED,851847662041_1,2022-08-10,Maharashtra, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,Return,400065,Maharashtra,64.3,1350,105,1439,2022-08-10,1.0,2,10,8,0,0,0,400,1,Maharashtra,1.0,1,0.2857142857142857,7,1439.0,-89,0.0,0.0729673384294649,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Maharashtra,6910.0,0.5930535455861071,2.9662807525325614,0.5,1.0,1.0
DELIVERED,458878633167_1,2022-08-22,Punjab,FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata,6320,Semi Stitched,1,1949.0,1949.0,Delivered,160055,Punjab,100.3,2106,0,2079,2022-08-22,0.0,0,22,8,0,0,0,160,0,Punjab,0.0,1,0.3333333333333333,6,2079.0,27,1.282051282051282,0.0,premium,1,1,1.0,0.3333333333333333,3,62,,,,,,,,,,,,Punjab,2824.0,0.6136685552407932,3.0155807365439093,0.0,1.0,1.0
RTO_LOCKED,269083456798_1,2022-08-25,Goa,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Shipped,403516,Goa,24.2,508,0,508,2022-08-25,0.0,3,25,8,0,0,1,403,0,Goa,0.0,1,0.0,1,508.0,0,0.0,0.0,high,1,1,1.0,0.10526315789473684,19,168,,,,,,,,,,,,,,0.5998520710059172,2.992565055762082,0.0,1.0,1.0
DELIVERED,437167650973_1,2022-08-22,Odisha,Dupatta Sets,Hk1436,XXL,1,1400.0,1400.0,Delivered,765021,Odisha,71.9,1510,0,1510,2022-08-22,0.0,0,22,8,0,0,0,765,0,Odisha,0.0,1,0.5,8,1510.0,0,0.0,0.0,premium,1,1,1.0,0.0,1,12,,,,,,,,,,,,Odisha,1345.0,0.5836431226765799,2.992565055762082,0.0,1.0,1.0
DELIVERED,736602256273_1,2022-08-24,Gujarat,Stylish designer digital printed work lehenga choli with duppata ,921837737,Semi Stitched,1,1500.0,1500.0,Delivered,382415,Gujarat,71.44,1500,148,1648,2022-08-24,0.0,2,24,8,0,0,0,382,0,Gujarat,0.0,3,0.125,8,1648.0,-148,0.0,0.08980582524271845,premium,1,1,1.0,0.0,3,65,,,,,,,,,,,,Gujarat,2737.0,0.59846547314578,2.989404457435148,0.0,1.0,1.0
DELIVERED,384931415630_1,2022-08-22,West Bengal ,FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLUE),1101 blue,Semi Stitched,1,1749.0,1749.0,Delivered,741139,West Bengal,87.96,1847,0,1847,2022-08-22,0.0,0,22,8,0,0,0,741,0,West Bengal,0.0,1,0.5555555555555556,9,1847.0,0,0.0,0.0,premium,1,1,1.0,0.0,1,186,,,,,,,,,,,,West Bengal,1352.0,0.5998520710059172,2.9903846153846154,0.0,1.0,1.0
CANCELLED,621670207763_1,2022-08-26,West Bengal,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Cancelled,735217,West Bengal,24.2,508,0,508,2022-08-26,1.0,4,26,8,0,0,1,735,0,West Bengal,1.0,1,0.5555555555555556,9,508.0,0,0.0,0.0,high,1,1,1.0,0.10526315789473684,19,168,,,,,,,,,,,,West Bengal,1352.0,0.5998520710059172,2.9903846153846154,0.5,1.0,1.0
DELIVERED,239488734703_1,2022-08-10,Karnataka, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,Delivered,577226,Karnataka,64.3,1350,114,1464,2022-08-10,0.0,2,10,8,0,0,0,577,0,Karnataka,0.0,1,0.0,5,1464.0,-114,0.0,0.0778688524590164,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Karnataka,1393.0,0.5793251974156497,3.0078966259870783,0.0,1.0,1.0
DELIVERED,704165208295_1,2022-08-15,Kerala, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,Return,682034,Kerala,64.3,1350,117,1451,2022-08-15,1.0,0,15,8,0,0,0,682,0,Kerala,1.0,1,0.5,8,1451.0,-101,0.0,0.08063404548587182,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Kerala,2810.0,0.6071174377224199,3.0188612099644128,0.5,1.0,1.0
DELIVERED,426207937376_1,2022-08-23,Odisha,top & bottom set,akshar 1090,M,1,1400.0,1400.0,Return,758032,Odisha,66.68,1400,81,1481,2022-08-23,1.0,1,23,8,0,0,0,758,0,Odisha,1.0,1,0.5,8,1481.0,-81,0.0,0.054692775151924375,premium,1,1,1.0,0.5,12,16,,,,,,,,,,,,Odisha,1345.0,0.5836431226765799,2.992565055762082,0.5,1.0,1.0
RTO_LOCKED,717389427083_1,2022-08-25,Kerala,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Shipped,685602,Kerala,24.2,508,0,508,2022-08-25,0.0,3,25,8,0,0,1,685,0,Kerala,0.0,1,0.5,8,508.0,0,0.0,0.0,high,1,1,1.0,0.10526315789473684,19,168,,,,,,,,,,,,Kerala,2810.0,0.6071174377224199,3.0188612099644128,0.0,1.0,1.0
DELIVERED,707632123402_1,2022-08-27,Karnataka,Kurta Sets ,95124932,XL,1,468.0,468.0,Shipped,560076,Karnataka,26.14,549,0,535,2022-08-27,0.0,5,27,8,1,0,1,560,1,Karnataka,0.0,1,0.0,5,535.0,14,2.5500910746812386,0.0,high,1,1,1.0,0.16666666666666666,6,11,,,,,,,,,,,,Karnataka,1393.0,0.5793251974156497,3.0078966259870783,0.0,1.0,1.0
DELIVERED,145765249861_1,2022-08-21,Maharashtra,FIVESTAR Designer Women Suit On havy Organza silk febric with Thred with Sequnce work and pent on also organza silk febric with inner and Dupatta also on organza silk febric with Thred work and less work,1091,Free Size,1,1399.0,1399.0,Delivered,410220,Maharashtra,71.3,1497,0,1497,2022-08-21,0.0,6,21,8,1,0,0,410,0,Maharashtra,0.0,1,0.2857142857142857,7,1497.0,0,0.0,0.0,premium,1,1,1.0,0.0,1,203,,,,,,,,,,,,Maharashtra,6910.0,0.5930535455861071,2.9662807525325614,0.0,1.0,1.0
DELIVERED,832025757463_1,2022-08-04,Tamil Nadu, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Delivered,600077,Tamil Nadu,64.3,1350,114,1448,2022-08-04,0.0,3,4,8,0,1,0,600,1,Tamil Nadu,0.0,1,0.5,10,1448.0,-98,0.0,0.0787292817679558,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Tamil Nadu,2635.0,0.6227703984819735,3.031499051233397,0.0,1.0,1.0
DELIVERED,133620476043_1,2022-08-18,Uttar Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,Return,282001,Uttar Pradesh,64.3,1350,114,1464,2022-08-18,1.0,3,18,8,0,0,0,282,0,Uttar Pradesh,1.0,1,0.4,10,1464.0,-114,0.0,0.0778688524590164,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Uttar Pradesh,5514.0,0.6006528835690969,3.025208560029017,0.5,1.0,1.0
DELIVERED,823942308881_1,2022-08-16,Odisha, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Delivered,760006,Odisha,64.3,1350,114,1464,2022-08-16,0.0,1,16,8,0,0,0,760,0,Odisha,0.0,1,0.5,8,1464.0,-114,0.0,0.0778688524590164,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Odisha,1345.0,0.5836431226765799,2.992565055762082,0.0,1.0,1.0
DELIVERED,349165630963_1,2022-08-28,Uttarakhand,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Shipped,249137,Uttarakhand,24.2,508,0,508,2022-08-28,0.0,6,28,8,1,0,1,249,0,Uttarakhand,0.0,1,0.3333333333333333,3,508.0,0,0.0,0.0,high,1,1,1.0,0.10526315789473684,19,168,,,,,,,,,,,,Uttarakhand,1391.0,0.5887850467289719,3.0287562904385332,0.0,1.0,1.0
DELIVERED,264002870509_1,2022-08-09,Gujarat,Dupatta set with bottom and duppata ,190,L,1,618.0,618.0,Delivered,395010,Gujarat,34.68,728,0,703,2022-08-09,0.0,1,9,8,0,0,0,395,0,Gujarat,0.0,3,0.125,8,703.0,25,3.4340659340659343,0.0,high,1,1,1.0,0.0,1,36,,,,,,,,,,,,Gujarat,2737.0,0.59846547314578,2.989404457435148,0.0,1.0,1.0
DELIVERED,654530604117_1,2022-08-28,Odisha,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XL,1,1300.0,1300.0,Delivered,766100,Odisha,61.9,1300,114,1398,2022-08-28,0.0,6,28,8,1,0,1,766,0,Odisha,0.0,1,0.5,8,1398.0,-98,0.0,0.0815450643776824,premium,1,1,1.0,0.2,5,111,,,,,,,,,,,,Odisha,1345.0,0.5836431226765799,2.992565055762082,0.0,1.0,1.0
DELIVERED,150003921805_1,2022-08-20,Up ,FIVESTAR Beautiful Designer Women Gorgette Plazo with Banglory silk Blouse and Gorgette duppata,5425 pink,Semi Stitched,1,1599.0,1599.0,Return,231305,Up,80.82,1697,0,1697,2022-08-20,1.0,5,20,8,1,0,0,231,0,Up,1.0,1,1.0,1,1697.0,0,0.0,0.0,premium,1,1,1.0,1.0,1,95,,,,,,,,,,,,,,0.5998520710059172,2.992565055762082,0.5,1.0,1.0
DELIVERED,673557263786_1,2022-08-06,Madhya Pradesh,Beautiful heavy embroidery sequence work top sharara with dupatta ,Dhk 1096,XL,1,2000.0,2000.0,Return,480884,Madhya Pradesh,95.24,2000,110,2110,2022-08-06,1.0,5,6,8,1,0,0,480,0,Madhya Pradesh,1.0,1,0.5,6,2110.0,-110,0.0,0.052132701421800945,premium,1,1,1.0,1.0,1,66,,,,,,,,,,,,Madhya Pradesh,2743.0,0.5956981407218374,2.989427633977397,0.5,1.0,1.0
DELIVERED,231138984607_1,2022-08-13,Tamil Nadu, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Delivered,628704,Tamil Nadu,64.3,1350,114,1448,2022-08-13,0.0,5,13,8,1,0,0,628,0,Tamil Nadu,0.0,1,0.5,10,1448.0,-98,0.0,0.0787292817679558,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Tamil Nadu,2635.0,0.6227703984819735,3.031499051233397,0.0,1.0,1.0
DELIVERED,641914233092_1,2022-08-05,Uttar Pradesh,Designer Saree on premium Soft Net fabric with Sequnce work & Ruffle with Vayring and blouse on also soft net febric with inner (Blue),Saree..1,Free Size,1,1444.0,1444.0,Delivered,231224,Uttar Pradesh,73.68,1547,0,1547,2022-08-05,0.0,4,5,8,0,1,0,231,0,Uttar Pradesh,0.0,1,0.4,10,1547.0,0,0.0,0.0,premium,1,1,1.0,0.0,1,134,,,,,,,,,,,,Uttar Pradesh,5514.0,0.6006528835690969,3.025208560029017,0.0,1.0,1.0
DELIVERED,922552445432_1,2022-08-30,Uttarakhand,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XL,1,1368.0,1368.0,Shipped,263153,Uttarakhand,65.14,1368,110,1478,2022-08-30,0.0,1,30,8,0,0,1,263,0,Uttarakhand,0.0,1,0.3333333333333333,3,1478.0,-110,0.0,0.07442489851150202,premium,1,1,1.0,0.36363636363636365,11,62,,,,,,,,,,,,Uttarakhand,1391.0,0.5887850467289719,3.0287562904385332,0.0,1.0,1.0
DELIVERED,406826346276_1,2022-08-01,Rajasthan,FIVESTAR Georgette Lehengha Choli with Inner Crep and Embroidered with 9mm Sequnce Work with Dupata,6326,Semi Stitched,1,1910.0,1910.0,Delivered,324008,Rajasthan,97.62,2050,0,2050,2022-08-01,0.0,0,1,8,0,1,0,324,0,Rajasthan,0.0,1,0.4,5,2050.0,0,0.0,0.0,premium,1,1,1.0,0.0,1,99,,,,,,,,,,,,Rajasthan,1358.0,0.617820324005891,2.905743740795287,0.0,1.0,1.0
DELIVERED,849870909835_1,2022-08-09,Uttarakhand, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,Return,247671,Uttarakhand,64.3,1350,114,1464,2022-08-09,1.0,1,9,8,0,0,0,247,0,Uttarakhand,1.0,1,0.3333333333333333,3,1464.0,-114,0.0,0.0778688524590164,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Uttarakhand,1391.0,0.5887850467289719,3.0287562904385332,0.5,1.0,1.0
DELIVERED,507255016644_1,2022-08-04,Telangana,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XXL,1,1300.0,1300.0,Delivered,500048,Telangana,61.9,1300,108,1408,2022-08-04,0.0,3,4,8,0,1,0,500,1,Telangana,0.0,1,0.5714285714285714,7,1408.0,-108,0.0,0.07670454545454546,premium,1,1,1.0,0.2,5,111,,,,,,,,,,,,Telangana,1394.0,0.5903873744619799,2.988522238163558,0.0,1.0,1.0
DELIVERED,537121032423_1,2022-08-18,Assam,FLORAL PRINT IN FOX GEORGETTE REAL MIRROR WORK GOWNS WITH DUPATTA,kb 194,XXL,1,1561.0,1561.0,Return,781315,Assam,74.34,1561,125,1686,2022-08-18,1.0,3,18,8,0,0,0,781,0,Assam,1.0,1,0.5,4,1686.0,-125,0.0,0.07413997627520759,premium,1,1,1.0,1.0,1,65,,,,,,,,,,,,Assam,1382.0,0.6078147612156295,3.020260492040521,0.5,1.0,1.0
DELIVERED,874997211089_1,2022-08-27,Others,top & bottom set,akshar 1090,XL,1,1400.0,1400.0,Shipped,742225,Others,66.68,1400,81,1465,2022-08-27,0.0,5,27,8,1,0,1,742,0,Others,0.0,1,0.5,2,1465.0,-65,0.0,0.0552901023890785,premium,1,1,1.0,0.5,12,16,,,,,,,,,,,,,,0.5998520710059172,2.992565055762082,0.0,1.0,1.0
RTO_COMPLETE,574899849229_1,2022-08-11,Tamil Nadu, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,Cancelled,600053,Tamil Nadu,64.3,1350,114,1464,2022-08-11,1.0,3,11,8,0,0,0,600,1,Tamil Nadu,1.0,1,0.5,10,1464.0,-114,0.0,0.0778688524590164,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Tamil Nadu,2635.0,0.6227703984819735,3.031499051233397,0.5,1.0,1.0
DELIVERED,583140288760_1,2022-08-26,West Bengal,top & bottom set,akshar 1090,XL,1,1400.0,1400.0,Delivered,712235,West Bengal,66.68,1400,81,1481,2022-08-26,0.0,4,26,8,0,0,1,712,0,West Bengal,0.0,1,0.5555555555555556,9,1481.0,-81,0.0,0.054692775151924375,premium,1,1,1.0,0.5,12,16,,,,,,,,,,,,West Bengal,1352.0,0.5998520710059172,2.9903846153846154,0.0,1.0,1.0
DELIVERED,710010425387_1,2022-08-30,Maharashtra,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400.0,1400.0,Shipped,400095,Maharashtra,66.68,1400,110,1510,2022-08-30,0.0,1,30,8,0,0,1,400,1,Maharashtra,0.0,2,0.2857142857142857,7,1510.0,-110,0.0,0.0728476821192053,premium,1,1,1.0,0.36363636363636365,11,62,,,,,,,,,,,,Maharashtra,6910.0,0.5930535455861071,2.9662807525325614,0.0,1.0,1.0
DELIVERED,803134095214_1,2022-08-09,Tamil Nadu,Desigener Party Wear Look New Top With Lehengha With Heavy Embroidery Sequence Work,dv1IKTGh,Free Size,1,1499.0,1499.0,Return,612002,Tamil Nadu,78.86,1656,0,1656,2022-08-09,1.0,1,9,8,0,0,0,612,0,Tamil Nadu,1.0,1,0.5,10,1656.0,0,0.0,0.0,premium,1,1,1.0,1.0,1,83,,,,,,,,,,,,Tamil Nadu,2635.0,0.6227703984819735,3.031499051233397,0.5,1.0,1.0
DELIVERED,139089555643_1,2022-08-25,Karnataka,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Delivered,560100,Karnataka,24.2,508,0,508,2022-08-25,0.0,3,25,8,0,0,1,560,1,Karnataka,0.0,1,0.0,5,508.0,0,0.0,0.0,high,1,1,1.0,0.10526315789473684,19,168,,,,,,,,,,,,Karnataka,1393.0,0.5793251974156497,3.0078966259870783,0.0,1.0,1.0
DELIVERED,974991026344_1,2022-08-15,Delhi,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400.0,1400.0,Return,110081,Delhi,66.68,1400,110,1510,2022-08-15,1.0,0,15,8,0,0,0,110,1,Delhi,1.0,1,0.75,4,1510.0,-110,0.0,0.0728476821192053,premium,1,1,1.0,0.36363636363636365,11,62,,,,,,,,,,,,Delhi,1341.0,0.5913497390007457,2.954511558538404,0.5,1.0,1.0
DELIVERED,704814497883_1,2022-08-20,Bihar,top & bottom set,akshar 1090,XL,1,1400.0,1400.0,Delivered,813210,Bihar,66.68,1400,81,1481,2022-08-20,0.0,5,20,8,1,0,0,813,0,Bihar,0.0,1,0.3333333333333333,3,1481.0,-81,0.0,0.054692775151924375,premium,1,1,1.0,0.5,12,16,,,,,,,,,,,,Bihar,1447.0,0.6005528680027643,3.1002073255010365,0.0,1.0,1.0
RTO_COMPLETE,296540364861_1,2022-08-22,seoni, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1311.0,1311.0,rto,480661,seoni,62.44,1311,114,1425,2022-08-22,1.0,0,22,8,0,0,0,480,0,Seoni,1.0,1,1.0,1,1425.0,-114,0.0,0.08,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,,,0.5998520710059172,2.992565055762082,0.5,1.0,1.0
DELIVERED,571369750119_1,2022-08-30,Punjab,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XL,1,1400.0,1400.0,Shipped,142044,Punjab,66.68,1400,110,1510,2022-08-30,0.0,1,30,8,0,0,1,142,0,Punjab,0.0,1,0.3333333333333333,6,1510.0,-110,0.0,0.0728476821192053,premium,1,1,1.0,0.36363636363636365,11,62,,,,,,,,,,,,Punjab,2824.0,0.6136685552407932,3.0155807365439093,0.0,1.0,1.0
DELIVERED,542703544972_1,2022-08-25,Himachal Pradesh,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,414.0,414.0,Delivered,171207,Himachal Pradesh,23.76,499,0,499,2022-08-25,0.0,3,25,8,0,0,1,171,0,Himachal Pradesh,0.0,1,0.0,2,499.0,0,0.0,0.0,medium,1,1,1.0,0.10526315789473684,19,168,,,,,,,,,,,,Himachal Pradesh,1372.0,0.5998542274052479,2.9620991253644315,0.0,1.0,1.0
RTO_COMPLETE,355746559602_1,2022-08-30,Andhra Pradesh,Heavy faux georgette with embroidery work with moti latkan border with sleev  Dupatta Sets ,Ad 009 a,XL,1,1500.0,1500.0,Shipped,524408,Andhra Pradesh,71.44,1500,110,1610,2022-08-30,0.0,1,30,8,0,0,1,524,0,Andhra Pradesh,0.0,1,0.7142857142857143,7,1610.0,-110,0.0,0.06832298136645963,premium,1,1,1.0,0.3333333333333333,3,91,,,,,,,,,,,,Andhra Pradesh,2752.0,0.5933866279069767,3.004360465116279,0.0,1.0,1.0
DELIVERED,768837658082_1,2022-08-07,Madhya Pradesh,top & bottom set,akshar 1090,M,1,1368.0,1368.0,Delivered,453771,Madhya Pradesh,65.14,1368,81,1449,2022-08-07,0.0,6,7,8,1,0,0,453,0,Madhya Pradesh,0.0,1,0.5,6,1449.0,-81,0.0,0.055900621118012424,premium,1,1,1.0,0.5,12,16,,,,,,,,,,,,Madhya Pradesh,2743.0,0.5956981407218374,2.989427633977397,0.0,1.0,1.0
DELIVERED,265339595628_1,2022-08-27,Gujarat,Kurta Sets ,45678,M,1,468.0,468.0,Delivered,395010,Gujarat,26.14,549,0,526,2022-08-27,0.0,5,27,8,1,0,1,395,0,Gujarat,0.0,3,0.125,8,526.0,23,4.189435336976321,0.0,high,1,1,1.0,0.16666666666666666,6,11,,,,,,,,,,,,Gujarat,2737.0,0.59846547314578,2.989404457435148,0.0,1.0,1.0
DELIVERED,354486173123_1,2022-08-04,Himachal Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Delivered,177048,Himachal Pradesh,64.3,1350,114,1448,2022-08-04,0.0,3,4,8,0,1,0,177,0,Himachal Pradesh,0.0,1,0.0,2,1448.0,-98,0.0,0.0787292817679558,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Himachal Pradesh,1372.0,0.5998542274052479,2.9620991253644315,0.0,1.0,1.0
DELIVERED,397474434265_1,2022-08-28,Rajasthan,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,414.0,414.0,Delivered,314001,Rajasthan,23.76,499,0,480,2022-08-28,0.0,6,28,8,1,0,1,314,0,Rajasthan,0.0,1,0.4,5,480.0,19,3.807615230460922,0.0,medium,1,1,1.0,0.10526315789473684,19,168,,,,,,,,,,,,Rajasthan,1358.0,0.617820324005891,2.905743740795287,0.0,1.0,1.0
