reason_for_credit_entry,sub_order_no,order_date,customer_state,product_name,sku,size,quantity,supplier_listed_price_(incl._gst_+_commission),supplier_discounted_price_(incl_gst_and_commision),order_status,pin,delivery_state,gst_amount,meesho_price,shipping_charges_total,final_price,forward_order_date,is_rto
DELIVERED,105706412059_1,2022-08-25,Maharashtra,top & bottom set,akshar 1090,M,1,1400.0,1400.0,Return,411009,Maharashtra,66.68,1400,72,1472,2022-08-25,1.0
RTO_COMPLETE,183404359462_1,2022-08-03,Bihar,top & bottom set,akshar 1090,M,1,1368.0,1368.0,rto,805130,Bihar,65.14,1368,79,1447,2022-08-03,1.0
DELIVERED,294779117929_1,2022-08-27,Kerala,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Shipped,691004,Kerala,24.72,519,0,519,2022-08-27,0.0
DELIVERED,431854237562_1,2022-08-26,Punjab,Kurta Sets ,45678,XXXL,1,500.0,500.0,Return,146001,Punjab,27.68,581,0,581,2022-08-26,1.0
RTO_COMPLETE,118121582107_1,2022-08-26,Mumbai,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Shipped,400095,Mumbai,24.2,508,0,499,2022-08-26,0.0
RTO_COMPLETE,296605193297_1,2022-08-25,Telangana,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,414.0,414.0,rto,506001,Telangana,23.48,493,0,493,2022-08-25,1.0
DELIVERED,1688345391_1,2022-08-07,Arunachal Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,Return,792001,Arunachal Pradesh,64.3,1350,114,1464,2022-08-07,1.0
RTO_COMPLETE,704133639877_1,2022-08-21,Kerala,Beautiful maska cotton kurta set with muslin cotton duppata and pant,Kb 196 b,L,1,1400.0,1400.0,rto,673527,Kerala,66.68,1400,116,1516,2022-08-21,1.0
DELIVERED,444981584080_1,2022-08-12,Tamil Nadu, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Return,603204,Tamil Nadu,64.3,1350,114,1464,2022-08-12,1.0
DELIVERED,765111140935_1,2022-08-06,West Bengal,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XXL,1,1300.0,1300.0,Delivered,711227,West Bengal,61.9,1300,114,1414,2022-08-06,0.0
DELIVERED,923462757835_1,2022-08-22,punjab,FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work,5400 blue,Semi Stitched,1,1999.0,1999.0,Return,143101,punjab,99.86,2097,0,2097,2022-08-22,1.0
DELIVERED,271046524562_1,2022-08-30,Delhi,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XL,1,1400.0,1400.0,Shipped,110009,Delhi,66.68,1400,110,1510,2022-08-30,0.0
DELIVERED,346130315989_1,2022-08-15,Andhra Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Return,532005,Andhra Pradesh,64.3,1350,114,1464,2022-08-15,1.0
RTO_COMPLETE,312073496064_1,2022-08-11,Telangana,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400.0,1400.0,rto,500052,Telangana,66.68,1400,110,1525,2022-08-11,1.0
RTO_COMPLETE,916538974169_1,2022-08-02,Assam,FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLACK),1101 black,Semi Stitched,1,1749.0,1749.0,rto,782435,Assam,88.62,1861,0,1861,2022-08-02,1.0
DELIVERED,436163379734_1,2022-08-07,MAHARASHTRA,Heavy Pure Super Slub Cotton With Embroidery Work With Balloon Sleeve With Attached Belt  Dresses ,Ad020,XXL,1,1000.0,1000.0,Delivered,421204,MAHARASHTRA,51.14,1074,0,1052,2022-08-07,0.0
