reason_for_credit_entry,sub_order_no,order_date,customer_state,product_name,sku,size,quantity,supplier_listed_price_(incl._gst_+_commission),supplier_discounted_price_(incl_gst_and_commision),order_status,pin,delivery_state,gst_amount,meesho_price,shipping_charges_total,final_price,forward_order_date,is_rto
DELIVERED,963799194113_1,2022-08-25,Uttar Pradesh,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Shipped,285123,Uttar Pradesh,24.2,508,0,502,2022-08-25,0.0
DELIVERED,248244279818_1,2022-08-13,Gujarat,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400.0,1400.0,Return,395003,Gujarat,66.68,1400,101,1501,2022-08-13,1.0
DELIVERED,851847662041_1,2022-08-10,Maharashtra, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,Return,400065,Maharashtra,64.3,1350,105,1439,2022-08-10,1.0
DELIVERED,458878633167_1,2022-08-22,Punjab,FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata,6320,Semi Stitched,1,1949.0,1949.0,Delivered,160055,Punjab,100.3,2106,0,2079,2022-08-22,0.0
RTO_LOCKED,269083456798_1,2022-08-25,Goa,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Shipped,403516,Goa,24.2,508,0,508,2022-08-25,0.0
DELIVERED,437167650973_1,2022-08-22,Odisha,Dupatta Sets,Hk1436,XXL,1,1400.0,1400.0,Delivered,765021,Odisha,71.9,1510,0,1510,2022-08-22,0.0
DELIVERED,736602256273_1,2022-08-24,Gujarat,Stylish designer digital printed work lehenga choli with duppata ,921837737,Semi Stitched,1,1500.0,1500.0,Delivered,382415,Gujarat,71.44,1500,148,1648,2022-08-24,0.0
DELIVERED,384931415630_1,2022-08-22,West Bengal ,FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLUE),1101 blue,Semi Stitched,1,1749.0,1749.0,Delivered,741139,West Bengal,87.96,1847,0,1847,2022-08-22,0.0
CANCELLED,621670207763_1,2022-08-26,West Bengal,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Cancelled,735217,West Bengal,24.2,508,0,508,2022-08-26,1.0
DELIVERED,239488734703_1,2022-08-10,Karnataka, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,Delivered,577226,Karnataka,64.3,1350,114,1464,2022-08-10,0.0
DELIVERED,704165208295_1,2022-08-15,Kerala, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,Return,682034,Kerala,64.3,1350,117,1451,2022-08-15,1.0
DELIVERED,426207937376_1,2022-08-23,Odisha,top & bottom set,akshar 1090,M,1,1400.0,1400.0,Return,758032,Odisha,66.68,1400,81,1481,2022-08-23,1.0
RTO_LOCKED,717389427083_1,2022-08-25,Kerala,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Shipped,685602,Kerala,24.2,508,0,508,2022-08-25,0.0
DELIVERED,707632123402_1,2022-08-27,Karnataka,Kurta Sets ,95124932,XL,1,468.0,468.0,Shipped,560076,Karnataka,26.14,549,0,535,2022-08-27,0.0
DELIVERED,145765249861_1,2022-08-21,Maharashtra,FIVESTAR Designer Women Suit On havy Organza silk febric with Thred with Sequnce work and pent on also organza silk febric with inner and Dupatta also on organza silk febric with Thred work and less work,1091,Free Size,1,1399.0,1399.0,Delivered,410220,Maharashtra,71.3,1497,0,1497,2022-08-21,0.0
DELIVERED,832025757463_1,2022-08-04,Tamil Nadu, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Delivered,600077,Tamil Nadu,64.3,1350,114,1448,2022-08-04,0.0
DELIVERED,133620476043_1,2022-08-18,Uttar Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,Return,282001,Uttar Pradesh,64.3,1350,114,1464,2022-08-18,1.0
DELIVERED,823942308881_1,2022-08-16,Odisha, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Delivered,760006,Odisha,64.3,1350,114,1464,2022-08-16,0.0
DELIVERED,349165630963_1,2022-08-28,Uttarakhand,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Shipped,249137,Uttarakhand,24.2,508,0,508,2022-08-28,0.0
DELIVERED,264002870509_1,2022-08-09,Gujarat,Dupatta set with bottom and duppata ,190,L,1,618.0,618.0,Delivered,395010,Gujarat,34.68,728,0,703,2022-08-09,0.0
DELIVERED,654530604117_1,2022-08-28,Odisha,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XL,1,1300.0,1300.0,Delivered,766100,Odisha,61.9,1300,114,1398,2022-08-28,0.0
DELIVERED,150003921805_1,2022-08-20,Up ,FIVESTAR Beautiful Designer Women Gorgette Plazo with Banglory silk Blouse and Gorgette duppata,5425 pink,Semi Stitched,1,1599.0,1599.0,Return,231305,Up,80.82,1697,0,1697,2022-08-20,1.0
DELIVERED,673557263786_1,2022-08-06,Madhya Pradesh,Beautiful heavy embroidery sequence work top sharara with dupatta ,Dhk 1096,XL,1,2000.0,2000.0,Return,480884,Madhya Pradesh,95.24,2000,110,2110,2022-08-06,1.0
DELIVERED,231138984607_1,2022-08-13,Tamil Nadu, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Delivered,628704,Tamil Nadu,64.3,1350,114,1448,2022-08-13,0.0
DELIVERED,641914233092_1,2022-08-05,Uttar Pradesh,Designer Saree on premium Soft Net fabric with Sequnce work & Ruffle with Vayring and blouse on also soft net febric with inner (Blue),Saree..1,Free Size,1,1444.0,1444.0,Delivered,231224,Uttar Pradesh,73.68,1547,0,1547,2022-08-05,0.0
DELIVERED,922552445432_1,2022-08-30,Uttarakhand,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XL,1,1368.0,1368.0,Shipped,263153,Uttarakhand,65.14,1368,110,1478,2022-08-30,0.0
DELIVERED,406826346276_1,2022-08-01,Rajasthan,FIVESTAR Georgette Lehengha Choli with Inner Crep and Embroidered with 9mm Sequnce Work with Dupata,6326,Semi Stitched,1,1910.0,1910.0,Delivered,324008,Rajasthan,97.62,2050,0,2050,2022-08-01,0.0
DELIVERED,849870909835_1,2022-08-09,Uttarakhand, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,Return,247671,Uttarakhand,64.3,1350,114,1464,2022-08-09,1.0
DELIVERED,507255016644_1,2022-08-04,Telangana,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XXL,1,1300.0,1300.0,Delivered,500048,Telangana,61.9,1300,108,1408,2022-08-04,0.0
DELIVERED,537121032423_1,2022-08-18,Assam,FLORAL PRINT IN FOX GEORGETTE REAL MIRROR WORK GOWNS WITH DUPATTA,kb 194,XXL,1,1561.0,1561.0,Return,781315,Assam,74.34,1561,125,1686,2022-08-18,1.0
DELIVERED,874997211089_1,2022-08-27,Others,top & bottom set,akshar 1090,XL,1,1400.0,1400.0,Shipped,742225,Others,66.68,1400,81,1465,2022-08-27,0.0
RTO_COMPLETE,574899849229_1,2022-08-11,Tamil Nadu, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,Cancelled,600053,Tamil Nadu,64.3,1350,114,1464,2022-08-11,1.0
DELIVERED,583140288760_1,2022-08-26,West Bengal,top & bottom set,akshar 1090,XL,1,1400.0,1400.0,Delivered,712235,West Bengal,66.68,1400,81,1481,2022-08-26,0.0
DELIVERED,710010425387_1,2022-08-30,Maharashtra,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400.0,1400.0,Shipped,400095,Maharashtra,66.68,1400,110,1510,2022-08-30,0.0
DELIVERED,803134095214_1,2022-08-09,Tamil Nadu,Desigener Party Wear Look New Top With Lehengha With Heavy Embroidery Sequence Work,dv1IKTGh,Free Size,1,1499.0,1499.0,Return,612002,Tamil Nadu,78.86,1656,0,1656,2022-08-09,1.0
DELIVERED,139089555643_1,2022-08-25,Karnataka,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Delivered,560100,Karnataka,24.2,508,0,508,2022-08-25,0.0
DELIVERED,974991026344_1,2022-08-15,Delhi,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400.0,1400.0,Return,110081,Delhi,66.68,1400,110,1510,2022-08-15,1.0
DELIVERED,704814497883_1,2022-08-20,Bihar,top & bottom set,akshar 1090,XL,1,1400.0,1400.0,Delivered,813210,Bihar,66.68,1400,81,1481,2022-08-20,0.0
RTO_COMPLETE,296540364861_1,2022-08-22,seoni, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1311.0,1311.0,rto,480661,seoni,62.44,1311,114,1425,2022-08-22,1.0
DELIVERED,571369750119_1,2022-08-30,Punjab,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XL,1,1400.0,1400.0,Shipped,142044,Punjab,66.68,1400,110,1510,2022-08-30,0.0
DELIVERED,542703544972_1,2022-08-25,Himachal Pradesh,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,414.0,414.0,Delivered,171207,Himachal Pradesh,23.76,499,0,499,2022-08-25,0.0
